Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"University of Vienna’s U:SPACE Turning Around a Failed Large Project by Becoming Agile","Agile Processes, in Software Engineering, and Extreme Programming","","","","10.1007/978-3-319-33515-5_19","Bernhard PieberKerstin OhlerMatthias Ehegötz","2016","http://link.springer.com/chapter/10.1007/978-3-319-33515-5_19","Chapter"
"Contracts and Scenarios in the Software Development Process","Contracts, Scenarios and Prototypes","","","","10.1007/978-3-642-18564-9_6","Dr. Reinhold Plösch","2004","http://link.springer.com/chapter/10.1007/978-3-642-18564-9_6","Chapter"
"What Counts as Software Process? Negotiating the Boundary of Software Work Through Artifacts and Conversation","Computer Supported Cooperative Work (CSCW)","","18","5 - 6","10.1007/s10606-009-9100-4","Marisa Leavitt CohnSusan Elliott SimCharlotte P. Lee","2009","http://link.springer.com/article/10.1007/s10606-009-9100-4","Article"
"When XP Met Outsourcing","Extreme Programming and Agile Processes in Software Engineering","","","","10.1007/978-3-540-24853-8_6","Angela MartinRobert BiddleJames Noble","2004","http://link.springer.com/chapter/10.1007/978-3-540-24853-8_6","Chapter"
"A","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_1","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_1","Chapter"
"Abstracts","Annals of Behavioral Medicine","","50","1","10.1007/s12160-015-9766-4","","2016","http://link.springer.com/article/10.1007/s12160-015-9766-4","Article"
"Agile Software Development with Open Source Software in a Hospital Environment – Case Study of an eCRF-System for Orthopaedical Studies","Web Engineering","","","","10.1007/978-3-642-39200-9_37","Tünay ÖzcanSemra KocakPhilipp Brune","2013","http://link.springer.com/chapter/10.1007/978-3-642-39200-9_37","Chapter"
"In-Time Role-Specific Notification as Formal Means to Balance Agile Practices in Global Software Development Settings","Balancing Agility and Formalism in Software Engineering","","","","10.1007/978-3-540-85279-7_17","Dindin WahyudinMatthias HeindlBenedikt EckhardAlexander SchattenStefan Biffl","2008","http://link.springer.com/chapter/10.1007/978-3-540-85279-7_17","Chapter"
"Agile Meets CMMI: Culture Clash or Common Cause?","Extreme Programming and Agile Methods — XP/Agile Universe 2002","","","","10.1007/3-540-45672-4_15","Richard TurnerApurva Jain","2002","http://link.springer.com/chapter/10.1007/3-540-45672-4_15","Chapter"
"Agile vs. structured distributed software development: A case study","Empirical Software Engineering","","19","5","10.1007/s10664-013-9271-y","Hans-Christian EstlerMartin NordioCarlo A. FuriaBertrand MeyerJohannes Schneider","2014","http://link.springer.com/article/10.1007/s10664-013-9271-y","Article"
"Abstracts","Annals of Behavioral Medicine","","49","1","10.1007/s12160-015-9688-1","","2015","http://link.springer.com/article/10.1007/s12160-015-9688-1","Article"
"The Impact of an Agile Methodology on the Well Being of Development Teams","Empirical Software Engineering","","11","1","10.1007/s10664-006-5968-5","Sharifah Syed-AbdullahMike HolcombeMarian Gheorge","2006","http://link.springer.com/article/10.1007/s10664-006-5968-5","Article"
"Can embedded space system development benefit from agile practices?","EURASIP Journal on Embedded Systems","","2017","1","10.1186/s13639-016-0040-z","Kaisa KönnöläSamuli SuomiTuomas MäkiläVille RantalaTeijo Lehtonen","2016","http://link.springer.com/article/10.1186/s13639-016-0040-z","Article"
"A study to support agile methods more effectively through traceability","Innovations in Systems and Software Engineering","","7","1","10.1007/s11334-011-0144-5","Angelina EspinozaJuan Garbajosa","2011","http://link.springer.com/article/10.1007/s11334-011-0144-5","Article"
"S","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_19","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_19","Chapter"
"Agile User Experience Development in a Large Software Organization: Good Expertise but Limited Impact","Human-Centered Software Engineering","","","","10.1007/978-3-642-34347-6_6","Kati KuusinenTommi MikkonenSanttu Pakarinen","2012","http://link.springer.com/chapter/10.1007/978-3-642-34347-6_6","Chapter"
"Agile Development: Good Process or Bad Attitude?","Product Focused Software Process Improvement","","","","10.1007/3-540-36209-6_13","Richard Turner","2002","http://link.springer.com/chapter/10.1007/3-540-36209-6_13","Chapter"
"On the Impact of Mixing Responsibilities Between Devs and Ops","Agile Processes, in Software Engineering, and Extreme Programming","","","","10.1007/978-3-319-33515-5_11","Kristian NybomJens SmedsIvan Porres","2016","http://link.springer.com/chapter/10.1007/978-3-319-33515-5_11","Chapter"
"A Case Study on the Impact of Refactoring on Quality and Productivity in an Agile Team","Balancing Agility and Formalism in Software Engineering","","","","10.1007/978-3-540-85279-7_20","Raimund MoserPekka AbrahamssonWitold PedryczAlberto SillittiGiancarlo Succi","2008","http://link.springer.com/chapter/10.1007/978-3-540-85279-7_20","Chapter"
"Software assurance practices for mobile applications","Computing","","97","10","10.1007/s00607-014-0395-8","Luis CorralAlberto SillittiGiancarlo Succi","2015","http://link.springer.com/article/10.1007/s00607-014-0395-8","Article"
"An Agile Customer-Centered Method: Rapid Contextual Design","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_6","Hugh BeyerKaren HoltzblattLisa Baker","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_6","Chapter"
"Knowledge Management Support for Distributed Agile Software Processes","Advances in Learning Software Organizations","","","","10.1007/978-3-540-40052-3_7","Harald HolzFrank Maurer","2003","http://link.springer.com/chapter/10.1007/978-3-540-40052-3_7","Chapter"
"Using Storyotypes to Split Bloated XP Stories","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_8","Gerard Meszaros","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_8","Chapter"
"Integration and Generification—Agile Software Development in the Healthcare Market","Computer Supported Cooperative Work (CSCW)","","18","5 - 6","10.1007/s10606-009-9097-8","Liv Karen JohannessenGunnar Ellingsen","2009","http://link.springer.com/article/10.1007/s10606-009-9097-8","Article"
"Rebalancing Your Organization’s Agility and Discipline","Extreme Programming and Agile Methods - XP/Agile Universe 2003","","","","10.1007/978-3-540-45122-8_1","Barry BoehmRichard Turner","2003","http://link.springer.com/chapter/10.1007/978-3-540-45122-8_1","Chapter"
"User Stories and Acceptance Tests","Extreme Programming Refactored: The Case Against XP","","","","10.1007/978-1-4302-0810-5_10","Matt StephensDoug Rosenberg","2003","http://link.springer.com/chapter/10.1007/978-1-4302-0810-5_10","Chapter"
"UML Models of Development Processes","UML Applied: A .NET Perspective","","","","10.1007/978-1-4302-0712-2_12","Martin L. Shoemaker","2004","http://link.springer.com/chapter/10.1007/978-1-4302-0712-2_12","Chapter"
"Waste identification and elimination in information technology organizations","Empirical Software Engineering","","19","6","10.1007/s10664-014-9302-3","Osama Al-BaikJames Miller","2014","http://link.springer.com/article/10.1007/s10664-014-9302-3","Article"
"ECR 2015 Book of Abstracts - B - Scientific Sessions and Late-Breaking Clinical Trials","Insights into Imaging","","6","1","10.1007/s13244-015-0387-z","","2015","http://link.springer.com/article/10.1007/s13244-015-0387-z","Article"
"T","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_20","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_20","Chapter"
"A study on PDAs for onboard applications and technologies and methodologies","Personal and Ubiquitous Computing","","15","5","10.1007/s00779-010-0318-4","Jesús Quirce García","2011","http://link.springer.com/article/10.1007/s00779-010-0318-4","Article"
"Poster Presentations","European Journal of Nuclear Medicine and Molecular Imaging","","38","2","10.1007/s00259-011-1911-0","","2011","http://link.springer.com/article/10.1007/s00259-011-1911-0","Article"
"A Privacy Engineering Lifecycle Methodology","The Privacy Engineer’s Manifesto","","","","10.1007/978-1-4302-6356-2_6","Michelle Finneran DennedyJonathan FoxThomas R. Finneran","2014","http://link.springer.com/chapter/10.1007/978-1-4302-6356-2_6","Chapter"
"Understanding the Influence of User Participation and Involvement on System Success – a Systematic Mapping Study","Empirical Software Engineering","","20","1","10.1007/s10664-013-9278-4","Ulrike AbeleinBarbara Paech","2015","http://link.springer.com/article/10.1007/s10664-013-9278-4","Article"
"Adapting SCRUM to the Italian Army: Methods and (Open) Tools","Open Source Software: Mobile Open Source Technologies","","","","10.1007/978-3-642-55128-4_7","Franco Raffaele CotugnoAngelo Messina","2014","http://link.springer.com/chapter/10.1007/978-3-642-55128-4_7","Chapter"
"Acceptance Testing vs. Unit Testing: A Developer’s Perspective","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_3","R. Owen Rogers","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_3","Chapter"
"L","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_12","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_12","Chapter"
"Constant Refactoring After Programming (If It Ain’t Broke, Fix It Anyway)","Extreme Programming Refactored: The Case Against XP","","","","10.1007/978-1-4302-0810-5_9","Matt StephensDoug Rosenberg","2003","http://link.springer.com/chapter/10.1007/978-1-4302-0810-5_9","Chapter"
"Posters","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0095-9","","2009","http://link.springer.com/article/10.1007/s12603-009-0095-9","Article"
"Requirements Engineering and Process Modelling in Software Quality Management— Towards a Generic Process Metamodel","Software Quality Journal","","12","3","10.1023/B:SQJO.0000034711.87241.f0","Eleni BerkiElli GeorgiadouMike Holcombe","2004","http://link.springer.com/article/10.1023/B%3ASQJO.0000034711.87241.f0","Article"
"Pause, Reflect and Act, the Pursuit of Continuous Transformation","Agile Processes, in Software Engineering, and Extreme Programming","","","","10.1007/978-3-319-33515-5_17","Sandeep HublikarShrikanth Hampiholi","2016","http://link.springer.com/chapter/10.1007/978-3-319-33515-5_17","Chapter"
"M","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_13","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_13","Chapter"
"E","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_5","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_5","Chapter"
"Meeting Organisational Needs and Quality Assurance through Balancing Agile and Formal Usability Testing Results","Software Engineering Techniques","","","","10.1007/978-3-642-22386-0_21","Jeff WinterKari RönkköMårten AhlbergJo Hotchkiss","2011","http://link.springer.com/chapter/10.1007/978-3-642-22386-0_21","Chapter"
"Development of framework for sustainable Lean implementation: an ISM approach","Journal of Industrial Engineering International","","10","3","10.1007/s40092-014-0072-8","Jagdish Rajaram JadhavS. S. ManthaSantosh B. Rane","2014","http://link.springer.com/article/10.1007/s40092-014-0072-8","Article"
"Game development software engineering process life cycle: a systematic review","Journal of Software Engineering Research and Development","","4","1","10.1186/s40411-016-0032-7","Saiqa AleemLuiz Fernando CapretzFaheem Ahmed","2016","http://link.springer.com/article/10.1186/s40411-016-0032-7","Article"
"Acceptance Test Driven Planning","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_5","Richard J. WattDavid Leigh-Fellows","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_5","Chapter"
"Agile science: creating useful products for behavior change in the real world","Translational Behavioral Medicine","","6","2","10.1007/s13142-016-0395-7","Eric B. Hekler PhDPredrag Klasnja PhDWilliam T. Riley PhDMatthew P. Buman PhDJennifer Huberty PhDDaniel E. Rivera PhDCesar A. Martin MS","2016","http://link.springer.com/article/10.1007/s13142-016-0395-7","Article"
"Systematic review of web application security development model","Artificial Intelligence Review","","43","2","10.1007/s10462-012-9375-6","Bala Musa ShuaibuNorita Md NorwawiMohd Hasan SelamatAbdulkareem Al-Alwani","2015","http://link.springer.com/article/10.1007/s10462-012-9375-6","Article"
"LODPRO: learning objects development process","Journal of the Brazilian Computer Society","","22","1","10.1186/s13173-016-0043-6","Leandro Marques QueirosDenis Silva da SilveiraJorge da Silva Correia-NetoGuilherme Vilar","2016","http://link.springer.com/article/10.1186/s13173-016-0043-6","Article"
"Evaluating the impact of an agile transformation: a longitudinal case study in a distributed context","Software Quality Journal","","21","4","10.1007/s11219-012-9189-4","Kirsi Korhonen","2013","http://link.springer.com/article/10.1007/s11219-012-9189-4","Article"
"Operational definition and automated inference of test-driven development with Zorro","Automated Software Engineering","","17","1","10.1007/s10515-009-0058-8","Hongbing KouPhilip M. JohnsonHakan Erdogmus","2009","http://link.springer.com/article/10.1007/s10515-009-0058-8","Article"
"Guidelines for conducting and reporting case study research in software engineering","Empirical Software Engineering","","14","2","10.1007/s10664-008-9102-8","Per RunesonMartin Höst","2008","http://link.springer.com/article/10.1007/s10664-008-9102-8","Article"
"Developing an ISDM Adoption Decision Model Using Delphi and AHP","Arabian Journal for Science and Engineering","","39","4","10.1007/s13369-013-0904-7","Yacine RezguiAdam MarksHamed AL-HajriIan Wilson","2014","http://link.springer.com/article/10.1007/s13369-013-0904-7","Article"
"Model-Driven Prototyping for Corporate Software Specification","Engineering Interactive Systems","","","","10.1007/978-3-540-92698-6_10","Thomas MemmelCarsten BockHarald Reiterer","2008","http://link.springer.com/chapter/10.1007/978-3-540-92698-6_10","Chapter"
"Critical Success Factors to Improve the Game Development Process from a Developer’s Perspective","Journal of Computer Science and Technology","","31","5","10.1007/s11390-016-1673-z","Saiqa AleemLuiz Fernando CapretzFaheem Ahmed","2016","http://link.springer.com/article/10.1007/s11390-016-1673-z","Article"
"Towards a Philosophy of Software Development: 40 Years after the Birth of Software Engineering","Journal for General Philosophy of Science","","39","1","10.1007/s10838-008-9068-7","Mandy NorthoverDerrick G. KourieAndrew BoakeStefan GrunerAlan Northover","2008","http://link.springer.com/article/10.1007/s10838-008-9068-7","Article"
"Suitability of FIT User Acceptance Tests for Specifying Functional Requirements: Developer Perspective","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_7","Grigori MelnikKris ReadFrank Maurer","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_7","Chapter"
"The effect of experience on the test-driven development process","Empirical Software Engineering","","12","6","10.1007/s10664-007-9048-2","Matthias M. MüllerAndreas Höfer","2007","http://link.springer.com/article/10.1007/s10664-007-9048-2","Article"
"Application Systems in the Individual Business Functions","Supply Chain Management Based on SAP Systems","","","","10.1007/978-3-540-24816-3_2","Prof. Dr. Gerhard KnolmayerProf. Dr. Dr. h.c. mult. Peter MertensDipl.-Kfm. Alexander Zeier","2002","http://link.springer.com/chapter/10.1007/978-3-540-24816-3_2","Chapter"
"Refactoring OCL annotated UML class diagrams","Software & Systems Modeling","","7","1","10.1007/s10270-007-0056-x","Slaviša MarkovićThomas Baar","2008","http://link.springer.com/article/10.1007/s10270-007-0056-x","Article"
"Enhancing the OPEN Process Framework with service-oriented method fragments","Software & Systems Modeling","","13","1","10.1007/s10270-011-0222-z","Mahdi Fahmideh GholamiMohsen SharifiPooyan Jamshidi","2014","http://link.springer.com/article/10.1007/s10270-011-0222-z","Article"
"Making a Method Work for a Project Situation in the Context of CMM","Product Focused Software Process Improvement","","","","10.1007/3-540-36209-6_15","Mehmet N. AydinFrank Harmsen","2002","http://link.springer.com/chapter/10.1007/3-540-36209-6_15","Chapter"
"Achieving agility through BRIDGE process model: an approach to integrate the agile and disciplined software development","Innovations in Systems and Software Engineering","","11","1","10.1007/s11334-014-0239-x","Ardhendu MandalS. C. Pal","2015","http://link.springer.com/article/10.1007/s11334-014-0239-x","Article"
"From project-oriented to service-oriented software development: an industrial experience guided by a service reference model","Journal of Software Engineering Research and Development","","2","1","10.1186/s40411-014-0010-x","Marcos KalinowskiStefan BifflRodrigo Oliveira SpínolaSheila Reinehr","2014","http://link.springer.com/article/10.1186/s40411-014-0010-x","Article"
"Towards understanding the relationship between team climate and software quality—a quasi-experimental study","Empirical Software Engineering","","13","4","10.1007/s10664-008-9074-8","Silvia T. AcuñaMarta GómezNatalia Juristo","2008","http://link.springer.com/article/10.1007/s10664-008-9074-8","Article"
"An ANP-based assessment model for lean enterprise transformation","The International Journal of Advanced Manufacturing Technology","","64","5 - 8","10.1007/s00170-012-4047-x","Ibrahim CilYusuf S. Turkan","2013","http://link.springer.com/article/10.1007/s00170-012-4047-x","Article"
"Roles in Innovative Software Teams: A Design Experiment","Human Benefit through the Diffusion of Information Systems Design Science Research","","","","10.1007/978-3-642-12113-5_5","Ivan Aaen","2010","http://link.springer.com/chapter/10.1007/978-3-642-12113-5_5","Chapter"
"JWalk: a tool for lazy, systematic testing of java classes by design introspection and user interaction","Automated Software Engineering","","14","4","10.1007/s10515-007-0015-3","Anthony J. H. Simons","2007","http://link.springer.com/article/10.1007/s10515-007-0015-3","Article"
"Influences on regression testing strategies in agile software development environments","Software Quality Journal","","22","4","10.1007/s11219-013-9225-z","David ParsonsTeo SusnjakManfred Lange","2014","http://link.springer.com/article/10.1007/s11219-013-9225-z","Article"
"SoftCoDeR approach: promoting Software Engineering Academia-Industry partnership using CMD, DSR and ESE","Journal of Software Engineering Research and Development","","4","1","10.1186/s40411-016-0034-5","Joelma ChomaLuciana A. M. ZainaTiago S. da Silva","2016","http://link.springer.com/article/10.1186/s40411-016-0034-5","Article"
"Test","DevOps for Digital Leaders","","","","10.1007/978-1-4842-1842-6_5","Aruna RavichandranKieran TaylorPeter Waterhouse","2016","http://link.springer.com/chapter/10.1007/978-1-4842-1842-6_5","Chapter"
"Innovation Management Needs an Interoperable Requirements Management","Enterprise Interoperability","","","","10.1007/978-3-642-33068-1_3","Katja LandgrafRoland Jochem","2012","http://link.springer.com/chapter/10.1007/978-3-642-33068-1_3","Chapter"
"An integrated design methodology based on the use of group AHP-DEA approach for measuring lean tools efficiency with undesirable output","The International Journal of Advanced Manufacturing Technology","","70","9 - 12","10.1007/s00170-013-5369-z","Alireza AnvariNorzima ZulkifliShahryar SorooshianOmid Boyerhassani","2014","http://link.springer.com/article/10.1007/s00170-013-5369-z","Article"
"A Mapping of Individual Architecture Frameworks (GRAI, PERA, C4ISR, CIMOSA, ZACHMAN, ARIS) onto GERAM","Handbook on Enterprise Architecture","","","","10.1007/978-3-540-24744-9_3","Ovidiu Noran","2003","http://link.springer.com/chapter/10.1007/978-3-540-24744-9_3","Chapter"
"Deploy","DevOps for Digital Leaders","","","","10.1007/978-1-4842-1842-6_6","Aruna RavichandranKieran TaylorPeter Waterhouse","2016","http://link.springer.com/chapter/10.1007/978-1-4842-1842-6_6","Chapter"
"On the possibilities of (pseudo-) software cloning from external interactions","Soft Computing","","12","1","10.1007/s00500-007-0215-6","Marek ReformatXinwei ChaiJames Miller","2008","http://link.springer.com/article/10.1007/s00500-007-0215-6","Article"
"ECR 2014, Part B","Insights into Imaging","","5","1","10.1007/s13244-014-0317-5","","2014","http://link.springer.com/article/10.1007/s13244-014-0317-5","Article"
"Astronomical Instruments and Techniques","Literature 1997, Part 1","","","","10.1007/978-3-642-51758-7_5","G. BurkhardtU. EsserH. HefeleI. HeinrichW. HofmannV. R. MatasL. D. SchmadelR. WielenG. Zech","1998","http://link.springer.com/chapter/10.1007/978-3-642-51758-7_5","Chapter"
"Software Process and Product Improvement: A Historical Perspective","Cybernetics and Systems Analysis","","39","1","10.1023/A:1023833428613","E. Georgiadou","2003","http://link.springer.com/article/10.1023/A%3A1023833428613","Article"
"C","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_3","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_3","Chapter"
